MaleBonusPercent,FemaleBonusPercent,MaleTopQuartile,FemaleTopQuartile
37.6,45.5,79,21
60.2,41.4,82,18
36.5,25.8,93.4,6.6
97,95.3,88.4,11.6
0,1,88,12
63.6,71.2,73.3,26.7
36,80,100,0
0.9,1.8,28,72
37.1,28.6,72.4,27.6
20,49,65,35
0,0,,
0,0,56,44
15,30,63,37
1.4,0.9,84.5,15.5
97.2,97.7,71.9,28.1
99.7,99.6,56.7,43.3
18,32,70,30
47,42,62,38
0,0,17.6,82.4
11.5,14.8,62.4,37.6
48.1,42.4,45,55
0.5,0.4,13,87
90,87,55,45
0,0,83,17
16,15,73,27
48,52,60,40
85.9,84.8,53,47
18.6,9.5,36,64
0,0,38,62
1.7,2.7,47.2,52.8
0,0,77.5,22.5
68.6,80.6,90.7,9.3
100,100,20,80
0,0,87.4,12.6
77.2,80.2,72.8,27.2
88.1,81.3,88.2,11.8
0,0,23.5,76.5
0,0,40.2,59.8
0,0,49.2,50.8
0,0,13,87
35.9,21.2,42.3,57.7
98,100,89,11
0,0,24,76
93,91,76,24
5.7,10.5,45,55
88.1,96.3,90.6,9.4
0,0,33.3,66.7
0,0,28.6,71.4
0,0,45.6,54.4
0.9,0,52.1,47.9
98.1,90.6,91.9,8.1
92.7,92,65.9,34.1
95,92.7,65.7,34.3
87.2,86,35,65
15.6,14.2,41.1,58.9
4.5,6.7,42.6,57.4
100,100,88.9,11.1
89,86.2,90,10
43.4,72.9,55,45
95.2,95.1,76,24
26,17,91,9
4,2,72,28
0,0,39,61
0,0,24.4,75.6
0,0,67,33
5,0.5,36.7,63.3
0.7,0.7,60,40
86,73,66.9,33.1
70,67,85,15
0.2,1.6,22.5,77.5
44.2,32.3,74,26
86.6,48.9,82.7,17.3
95.6,96.6,80.8,19.2
82.7,76.2,90.9,9.1
23.5,16.5,3,97
5.6,0,74.1,25.9
1.5,0.3,89.3,10.7
0.2,0,97.6,2.4
0,1.5,21.1,78.9
7.3,0.6,36.5,63.5
0.3,1,29,71
0,0,82.9,17.1
9.9,4.8,,
0,0,66.7,33.3
2.4,3.3,15.8,84.2
22.3,13.2,91.1,8.9
29.7,53.8,88.4,11.6
0,0,34.8,65.2
72,80,19,81
10.5,6.3,52.7,47.3
1.6,12.2,92,8
0,0,26.6,73.4
0,0,35,65
42.6,38.4,66.4,33.6
59,13.2,76.6,23.4
36.3,34.2,47.6,52.4
3.3,2.8,65.1,34.9
0,0,52,48
1.7,0.6,83.3,16.7
100,100,81,19
19.5,18.1,60.6,39.4
0,0,47.8,52.2
20.9,2.4,90.6,9.4
47.5,38.6,39,61
0,0,35.7,64.3
85.4,79.4,35.4,64.6
14.8,15.1,80.9,19.1
1.9,3.4,23.7,76.3
90.4,85.1,92.1,7.9
91,80,81,19
90.4,85.1,77.5,22.5
10,7,17.8,82.2
96.3,94.8,90.7,9.3
8,8,30,70
69,55,70,30
100,100,29,71
8,2.8,40,60
26.7,35.7,27.8,72.2
0,0,41.4,58.6
0,0,37.9,62.1
0,0,35.1,64.9
0,0,24.2,75.8
0,0,34.4,65.6
99,88,87,13
0,0,45.8,54.2
95.7,94.7,59.3,40.7
97.7,99.3,60,40
5,11.4,79.7,20.3
17.3,15.6,48.8,51.2
78.2,63.9,88,12
38,33,73,27
81.5,80.5,75.6,24.4
0,0,94,6
0,0,50.6,49.4
0,0,34.6,65.4
68,32,64.7,35.3
0,0,47.1,52.9
0,0,34.1,65.9
0,0,,
6.3,6.1,72,28
100,100,62.8,37.2
0.3,0.2,58.8,41.2
0,0,33.8,66.2
0,0,28.9,71.1
0,0,25.6,74.4
0,0,15.1,84.9
0,0,50,50
0,0,47,53
9.4,0,44,56
69.1,73.3,75,25
0,0,61,39
78,71,64,36
1.5,0.5,12.8,87.2
0,0,17.1,82.9
66.4,15.4,100,0
14.6,25.6,18.1,81.9
0,0,19.2,80.8
96.9,94.8,68,32
0,0,11,89
90.2,96.6,73.7,26.3
100,100,29.1,70.9
0,0,21,79
44.8,29.2,79.6,20.4
10.7,10.7,54.2,45.8
0,0,35,65
77,82,59,41
0,0,75,25
0,0,80,20
0,0,78,22
0,0,34,66
92,100,90,10
94.1,94.4,32,68
0,0,15.1,84.9
70.8,76.2,89.9,10.1
0,0,24,76
88,83,60,40
0,0,15.1,84.9
91,94,32.9,67.1
100,94.4,77,23
0,0,11,89
87.3,70.4,78.1,21.9
14.5,16.4,42,58
73.2,73.4,93.8,6.2
96.4,97.1,95.5,4.5
99.7,94.4,94,6
23,56,61,39
89.5,50.9,82,18
24.2,7.7,83.3,16.7
13.1,12.8,77.4,22.6
9,1,86,14
20.9,22.9,71.2,28.8
89.5,81.7,64,36
95.6,93.3,69,31
92.9,91.4,64,36
89,90,70,30
80,85,56,44
0,0,37,63
5.2,8.7,64.8,35.2
89.4,69.8,80.7,19.3
2,3,66,34
6,2,73,27
0,0,50,50
6,3.7,15,85
93.5,93.5,87.1,12.9
100,100,84,16
45,44.9,77.4,22.6
0,0,50.5,49.5
48,40,,
0,0,71,29
59.2,45.9,86,14
100,97.2,54.2,45.8
0,0,87,13
85.4,93.9,55,45
